<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20191008,100000,197.5900000,197.7100000,196.2800000,196.3000000,22894
20191008,110000,196.3000000,197.5000000,195.9400000,197.5000000,28411
20191008,120000,197.4600000,198.3000000,196.6100000,197.3900000,25527
20191008,130000,197.4100000,198.7800000,197.2100000,197.9800000,20972
20191008,140000,198.0100000,198.5600000,197.8600000,198.0500000,10451
20191008,150000,198.0400000,198.9300000,197.8300000,197.9700000,31249
20191008,160000,198.2900000,198.3600000,197.1100000,197.5100000,34862
20191009,100000,198.3500000,198.7200000,197.3200000,198.0900000,11351
20191009,110000,198.0900000,198.6800000,197.7400000,198.1600000,20769
20191009,120000,198.1700000,198.4000000,197.4100000,198.0500000,18331
20191009,130000,198.1200000,198.4700000,197.6700000,197.9700000,19491
20191009,140000,198.0700000,198.2200000,197.4100000,197.7800000,18849
20191009,150000,197.7900000,197.8100000,197.3300000,197.4700000,26946
20191009,160000,197.4400000,197.9200000,196.7000000,196.7700000,72374
20191010,100000,197.7600000,200.1800000,197.7400000,199.8800000,14100
20191010,110000,200.1300000,200.8000000,199.1700000,200.7400000,19180
20191010,120000,200.7400000,201.2400000,200.4500000,201.0200000,19680
20191010,130000,200.8700000,201.0500000,199.8000000,200.3400000,17808
20191010,140000,200.2100000,200.2100000,199.5200000,200.0900000,15263
20191010,150000,200.0100000,200.1100000,198.8400000,199.8400000,16771
20191010,160000,199.8200000,200.1400000,199.5500000,199.8100000,27949
20191011,100000,204.2200000,205.6700000,204.1200000,205.2400000,19128
20191011,110000,205.5000000,206.2000000,205.1600000,206.2000000,16448
20191011,120000,206.0000000,207.2500000,206.0000000,206.2500000,15700
20191011,130000,206.1000000,206.1800000,205.2300000,205.6400000,13325
20191011,140000,205.9000000,206.7000000,205.3900000,206.6600000,11180
20191011,150000,206.6900000,207.0800000,206.4700000,206.7400000,13499
20191011,160000,206.7400000,206.9900000,204.6600000,204.6600000,33796
20191014,100000,203.7000000,204.5400000,203.0300000,204.4700000,9880
20191014,110000,204.4100000,204.4100000,203.2600000,204.0900000,13200
20191014,120000,204.1600000,205.4000000,203.8300000,205.2100000,17543
20191014,130000,205.2250000,205.9300000,205.0600000,205.4800000,20325
20191014,140000,205.6500000,205.7000000,205.0600000,205.5900000,36807
20191014,150000,205.6500000,206.0700000,205.5500000,205.7700000,18834
20191014,160000,205.7500000,206.1600000,205.6100000,205.9300000,43557
20191015,100000,201.5900000,202.0000000,198.8100000,199.3100000,58405
20191015,110000,199.2300000,202.4900000,198.8800000,202.3800000,112481
20191015,120000,202.3500000,206.5000000,201.2600000,204.8600000,112253
20191015,130000,204.9000000,207.1400000,204.5150000,206.2200000,63539
20191015,140000,206.2800000,206.7700000,205.2800000,206.5200000,30165
20191015,150000,206.5300000,208.2100000,206.5300000,207.2500000,64909
20191015,160000,207.2300000,207.2700000,206.0900000,206.6800000,40862
20191016,100000,206.1800000,207.9300000,206.1100000,206.6700000,21296
20191016,110000,206.7500000,207.8900000,206.2000000,206.8700000,14597
20191016,120000,206.8400000,207.7400000,206.4100000,207.1300000,23159
20191016,130000,207.3500000,207.4400000,206.8000000,207.0200000,14098
20191016,140000,207.0000000,207.5200000,206.9900000,207.2400000,8757
20191016,150000,207.2500000,208.6000000,207.2500000,208.5600000,13535
20191016,160000,208.4800000,208.5800000,207.3700000,207.3700000,29916
20191017,100000,208.6500000,208.7800000,207.5100000,207.6400000,15300
20191017,110000,207.6500000,207.6600000,205.3700000,205.7800000,30604
20191017,120000,205.7700000,205.7800000,204.6900000,204.8400000,22813
20191017,130000,204.8300000,206.1900000,204.4200000,206.1900000,25573
20191017,140000,206.1100000,206.9800000,205.8100000,206.8600000,17099
20191017,150000,206.7500000,207.6400000,206.5500000,207.5900000,11882
20191017,160000,207.5300000,207.5300000,206.5300000,206.5500000,24060
20191018,100000,205.2300000,206.6900000,205.2300000,206.5600000,17745
20191018,110000,206.5300000,206.5400000,205.8300000,206.3500000,10297
20191018,120000,206.5300000,206.8200000,206.2100000,206.2100000,16193
20191018,130000,206.0900000,207.0900000,205.7100000,207.0800000,21897
20191018,140000,207.2300000,207.9600000,207.1900000,207.9600000,13707
20191018,150000,207.9700000,208.0200000,207.3200000,207.4100000,16415
20191018,160000,207.4600000,207.4800000,206.7100000,206.7200000,27305
20191021,100000,207.8500000,210.7800000,207.6800000,209.8800000,28325
20191021,110000,209.9900000,210.4600000,209.4200000,209.9500000,30420
20191021,120000,209.7600000,210.5400000,209.7600000,210.4100000,13387
20191021,130000,210.3600000,210.3600000,209.5000000,209.6600000,5658
20191021,140000,209.7500000,209.7500000,208.8900000,209.0600000,12050
20191021,150000,209.0600000,209.2800000,209.0000000,209.1600000,8770
20191021,160000,209.1400000,209.8000000,209.0000000,209.2300000,33686
20191022,100000,209.4800000,209.5400000,208.4600000,209.5000000,11239
20191022,110000,209.4900000,210.4400000,209.4800000,210.4100000,13459
20191022,120000,210.3300000,210.8800000,210.2300000,210.8800000,13850
20191022,130000,210.9300000,211.6500000,210.3800000,210.7200000,33210
20191022,140000,210.6700000,210.8300000,210.2500000,210.8000000,8727
20191022,150000,210.9500000,211.1500000,209.4600000,209.5400000,19443
20191022,160000,209.6000000,210.3300000,208.9100000,209.5200000,38196
20191023,100000,209.0300000,211.0100000,209.0300000,210.1700000,12662
20191023,110000,210.2000000,211.1700000,209.4500000,211.1700000,13360
20191023,120000,211.3200000,211.8200000,211.1200000,211.6300000,21524
20191023,130000,211.6500000,212.0000000,211.5700000,211.6800000,15029
20191023,140000,211.6800000,211.8000000,211.1400000,211.1400000,10998
20191023,150000,211.0700000,211.1400000,210.5600000,210.8500000,18422
20191023,160000,210.8900000,211.5600000,210.8900000,211.3400000,34374
20191024,100000,211.7350000,213.0000000,210.7700000,210.7800000,12846
20191024,110000,210.7000000,211.0800000,210.1800000,210.9300000,12775
20191024,120000,210.9400000,211.9100000,210.9400000,211.0900000,15931
20191024,130000,211.0500000,211.0500000,210.0500000,210.2200000,9700
20191024,140000,210.2400000,210.3500000,209.7800000,210.0600000,8521
20191024,150000,210.1400000,210.6800000,210.1400000,210.5800000,12908
20191024,160000,210.5900000,211.2300000,210.5600000,211.0700000,21778
20191025,100000,210.7300000,213.2600000,210.7300000,212.8100000,20024
20191025,110000,212.7200000,213.5400000,212.3500000,213.5100000,20089
20191025,120000,213.5100000,214.7900000,213.2600000,214.7400000,23956
20191025,130000,214.8100000,215.4100000,214.4800000,214.8700000,27371
20191025,140000,214.8600000,215.0500000,214.5000000,214.9000000,26518
20191025,150000,214.9000000,215.1700000,214.0900000,214.2700000,18943
20191025,160000,214.2300000,214.9600000,214.2200000,214.3100000,41254
20191028,100000,215.9100000,218.9100000,215.6900000,217.3700000,27321
20191028,110000,217.4300000,218.6000000,217.2900000,217.3300000,27314
20191028,120000,217.3200000,217.7800000,216.9100000,217.7800000,16988
20191028,130000,217.7800000,218.2500000,217.4700000,217.4900000,26935
20191028,140000,217.5200000,217.9400000,217.4500000,217.8000000,16713
20191028,150000,217.8900000,218.2600000,217.7550000,218.0800000,19589
20191028,160000,218.0500000,218.4300000,217.6500000,217.6800000,37143
20191029,100000,217.8500000,218.2500000,217.5200000,217.5950000,8133
20191029,110000,217.6900000,219.2700000,217.0100000,218.6400000,27729
20191029,120000,218.6900000,218.7300000,217.2700000,217.2900000,25797
20191029,130000,217.2300000,217.4400000,216.6800000,216.7300000,17018
20191029,140000,216.7900000,217.1600000,216.7000000,216.9100000,14274
20191029,150000,216.8500000,217.0700000,216.4500000,216.8600000,13611
20191029,160000,216.8500000,217.8600000,216.8500000,217.7200000,61741
20191030,100000,216.7300000,216.7300000,215.2600000,215.3400000,5407
20191030,110000,215.3300000,215.3500000,214.1300000,215.1000000,11371
20191030,120000,215.2200000,215.2200000,213.8400000,214.0800000,14771
20191030,130000,214.2200000,215.0000000,214.0600000,215.0000000,23684
20191030,140000,215.0000000,215.2900000,214.8000000,215.2900000,6800
20191030,150000,215.4400000,216.7500000,215.1100000,216.5000000,13925
20191030,160000,216.4900000,216.4900000,215.4100000,215.7500000,36484
20191031,100000,215.2100000,215.2100000,212.7000000,213.6100000,7074
20191031,110000,213.3300000,213.3300000,211.5200000,212.7200000,17594
20191031,120000,212.6800000,213.1300000,211.9100000,212.9900000,19151
20191031,130000,213.0700000,213.0700000,212.0300000,212.2100000,12935
20191031,140000,212.1100000,212.6100000,211.8500000,211.9300000,13950
20191031,150000,211.9000000,212.1300000,211.7500000,212.1000000,16458
20191031,160000,212.0400000,213.3000000,212.0100000,213.2800000,32847
20191101,100000,215.3800000,216.2700000,215.3800000,216.2700000,7600
20191101,110000,216.0100000,217.5500000,215.9300000,217.1100000,32130
20191101,120000,217.2600000,217.3600000,217.0100000,217.0700000,16452
20191101,130000,217.1600000,217.2200000,216.7600000,217.0200000,11656
20191101,140000,217.0100000,217.6800000,216.9500000,217.6800000,16838
20191101,150000,217.6500000,217.6500000,216.9600000,217.0800000,24850
20191101,160000,217.0500000,217.8550000,217.0000000,217.3300000,39967
20191104,100000,219.7700000,220.6700000,219.1800000,219.3600000,27129
20191104,110000,219.4100000,219.8000000,218.5700000,219.6400000,33296
20191104,120000,219.6500000,220.1400000,219.6500000,219.8400000,32193
20191104,130000,219.8000000,219.8400000,219.2700000,219.7600000,11900
20191104,140000,219.6800000,220.4400000,219.6700000,220.3900000,8742
20191104,150000,220.3800000,220.5300000,219.6800000,219.7600000,19015
20191104,160000,219.7900000,220.1800000,219.2100000,220.0100000,34636
20191105,100000,220.8000000,221.4300000,219.4600000,221.1500000,21674
20191105,110000,221.2100000,221.7500000,219.6500000,219.8800000,34232
20191105,120000,219.9000000,220.8900000,218.9400000,219.2700000,21090
20191105,130000,219.2000000,219.2800000,218.7400000,219.1100000,19668
20191105,140000,219.0700000,219.8100000,219.0600000,219.7400000,17452
20191105,150000,219.7400000,220.2800000,219.7200000,220.0100000,14435
20191105,160000,219.9100000,219.9200000,218.4800000,218.6700000,40158
20191106,100000,218.0400000,218.3400000,216.6650000,218.3200000,8000
20191106,110000,218.6300000,219.0600000,217.7150000,218.6600000,10955
20191106,120000,218.7500000,218.7700000,217.0000000,217.4700000,17330
20191106,130000,217.4700000,218.0800000,217.4600000,218.0300000,18500
20191106,140000,218.0900000,218.9300000,217.8900000,218.9000000,11538
20191106,150000,218.9100000,218.9100000,218.5000000,218.8900000,8268
20191106,160000,218.8000000,218.9500000,218.2800000,218.3000000,24965
