<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20191008,110000,39.9300000,40.0250000,39.7800000,40.0100000,33348
20191008,120000,40.0000000,40.1500000,39.7500000,40.0000000,34901
20191008,130000,39.9600000,40.1500000,39.9200000,40.0200000,21383
20191008,140000,39.9900000,40.1900000,39.9900000,40.0800000,13972
20191008,150000,40.1000000,40.1500000,39.9400000,39.9800000,29330
20191008,160000,39.9800000,40.0950000,39.7800000,39.8450000,70827
20191009,110000,40.1400000,40.4500000,40.0900000,40.3400000,109622
20191009,120000,40.3800000,40.4900000,40.2400000,40.4400000,46281
20191009,130000,40.4500000,40.5200000,40.3800000,40.4450000,44874
20191009,140000,40.4900000,40.5400000,40.3600000,40.4750000,62256
20191009,150000,40.4800000,40.6100000,40.4150000,40.6000000,26438
20191009,160000,40.5900000,40.6450000,40.4250000,40.4250000,57161
20191010,110000,41.2900000,41.3400000,41.0350000,41.3300000,62349
20191010,120000,41.3150000,41.3550000,41.1800000,41.2450000,33643
20191010,130000,41.2550000,41.2900000,41.0650000,41.2850000,51576
20191010,140000,41.2850000,41.2850000,41.0400000,41.1400000,27528
20191010,150000,41.1500000,41.1600000,40.9300000,41.0900000,28777
20191010,160000,41.0800000,41.1300000,40.9850000,41.0500000,53504
20191011,110000,42.3300000,42.3900000,42.2300000,42.3400000,32070
20191011,120000,42.3100000,42.4900000,42.2050000,42.2600000,53760
20191011,130000,42.2700000,42.2900000,42.1100000,42.2400000,32302
20191011,140000,42.2750000,42.5150000,42.1700000,42.4900000,30314
20191011,150000,42.4900000,42.5850000,42.4350000,42.4750000,45173
20191011,160000,42.4800000,42.4850000,41.9050000,41.9100000,90564
20191014,110000,41.9550000,42.0850000,41.9500000,42.0300000,35584
20191014,120000,42.0400000,42.2800000,42.0300000,42.2100000,52199
20191014,130000,42.2100000,42.3000000,42.1700000,42.2400000,19652
20191014,140000,42.2400000,42.2800000,42.1900000,42.1900000,19086
20191014,150000,42.2400000,42.2450000,42.1700000,42.2100000,18186
20191014,160000,42.2000000,42.3000000,42.1400000,42.2800000,78433
20191015,110000,42.0000000,42.9000000,41.9700000,42.8800000,120860
20191015,120000,42.9100000,42.9200000,42.5950000,42.8300000,76116
20191015,130000,42.8300000,42.8900000,42.7300000,42.8100000,53762
20191015,140000,42.8350000,42.9000000,42.7200000,42.8550000,50420
20191015,150000,42.8550000,42.8800000,42.6800000,42.6900000,46257
20191015,160000,42.6800000,42.6800000,42.5250000,42.5300000,54116
20191016,110000,42.8900000,43.1400000,42.7650000,42.9700000,54275
20191016,120000,42.9600000,42.9900000,42.7600000,42.8500000,48660
20191016,130000,42.8700000,42.9100000,42.7650000,42.7900000,43879
20191016,140000,42.7900000,42.8700000,42.7400000,42.7600000,37961
20191016,150000,42.7700000,42.9300000,42.7300000,42.8700000,57644
20191016,160000,42.8750000,42.9200000,42.8050000,42.8100000,86522
20191017,110000,44.3300000,44.4050000,43.9800000,44.1000000,147744
20191017,120000,44.0800000,44.2200000,43.9000000,43.9550000,90030
20191017,130000,43.8900000,43.9300000,43.6950000,43.7200000,89115
20191017,140000,43.6950000,43.8050000,43.4950000,43.7000000,136025
20191017,150000,43.7050000,43.7900000,43.4750000,43.7700000,75221
20191017,160000,43.7700000,43.7850000,43.4450000,43.4500000,184251
20191018,110000,43.5500000,43.5700000,43.2600000,43.3000000,70572
20191018,120000,43.3100000,43.4750000,43.2950000,43.3200000,47194
20191018,130000,43.3200000,43.5700000,43.2300000,43.5600000,37343
20191018,140000,43.5550000,43.8400000,43.5550000,43.8150000,32670
20191018,150000,43.8350000,43.8500000,43.7150000,43.7900000,49730
20191018,160000,43.8000000,43.8300000,43.6950000,43.7000000,54375
20191021,110000,44.7000000,44.9200000,44.6300000,44.9000000,127957
20191021,120000,44.8800000,44.9350000,44.7900000,44.9350000,92372
20191021,130000,44.9350000,44.9650000,44.8500000,44.9550000,68147
20191021,140000,44.9600000,45.0000000,44.8400000,44.9450000,64688
20191021,150000,44.9450000,45.0800000,44.9450000,45.0050000,86938
20191021,160000,45.0100000,45.0850000,44.9500000,45.0150000,236422
20191022,110000,44.9300000,45.2600000,44.9200000,45.2200000,62250
20191022,120000,45.2300000,45.5200000,45.2050000,45.5200000,75247
20191022,130000,45.5200000,45.6100000,45.4700000,45.5500000,104586
20191022,140000,45.5300000,45.5600000,45.4250000,45.5600000,32247
20191022,150000,45.5700000,45.6100000,45.2650000,45.3700000,118412
20191022,160000,45.3800000,45.5700000,45.2150000,45.3800000,150386
20191023,110000,45.3500000,45.5300000,45.1400000,45.5300000,62758
20191023,120000,45.5300000,45.6100000,45.5000000,45.5200000,43825
20191023,130000,45.5000000,45.7300000,45.4800000,45.6150000,170577
20191023,140000,45.6100000,45.7450000,45.6100000,45.7450000,30801
20191023,150000,45.7200000,45.8250000,45.6500000,45.8000000,32336
20191023,160000,45.7900000,45.9200000,45.7250000,45.9150000,112994
20191024,110000,45.6800000,45.7400000,45.5150000,45.7100000,46330
20191024,120000,45.7200000,45.8900000,45.7100000,45.7700000,32823
20191024,130000,45.7750000,45.7800000,45.5550000,45.6500000,26379
20191024,140000,45.6450000,45.7100000,45.5900000,45.6700000,26410
20191024,150000,45.6600000,45.8100000,45.6500000,45.8000000,37350
20191024,160000,45.7900000,45.8650000,45.7750000,45.7750000,64130
